FIPS_County,ID,Use_of_Force,Lethal_Force,Police_Shootings
01003,99003,88,77,0
01015,1852,78,28,5
01073,7000,1316,322,22
01089,45784,23,5,1
01097,99097,216,142,0
01103,20104,398,29,0
02016,80770,0,0,0
02020,3000,1491,776,18
02090,24230,378,78,3
02110,36400,284,132,3
02122,38420,121,11,0
02150,40950,94,33,0
02261,82200,33,5,0
04003,99003,25,2,0
04005,99005,106,2,1
04007,53700,70,0,0
04013,679683,21470,7141,256
04015,144855,709,279,8
04017,99017,55,14,1
04019,334029,6635,1725,66
04021,153961,1181,1075,8
04025,172815,320,118,20
04027,184567,1155,139,5
05031,35710,999,349,10
05041,1990,47,0,0
05045,15190,285,76,3
05119,91450,2125,938,35
05143,188513,1276,251,6
05145,99145,92,93,0
06001,597757,9650,1539,55
06003,99003,0,0,0
06005,250049,8,2,1
06007,154180,190,34,5
06009,101121,14,6,4
06011,113957,46,3,0
06013,712548,2023,670,40
06015,116037,188,5,2
06017,229665,293,31,3
06019,671825,2463,694,57
06021,153295,99,29,2
06023,234647,553,206,7
06025,269339,160,7,5
06027,99027,12,5,1
06029,544557,7799,3530,68
06031,191669,197,33,9
06033,152688,403,37,3
06035,176399,8,3,0
06037,1912109,41525,7563,505
06039,157355,142,19,4
06041,508039,1052,192,1
06043,99043,2,1,3
06045,290837,76,10,4
06047,283159,2363,339,11
06049,100493,13,3,0
06051,144409,11,2,0
06053,650993,1041,419,18
06055,223345,117,23,9
06057,261317,38,2,3
06059,937103,10890,3687,102
06061,269041,685,203,8
06063,99063,4,1,0
06065,399215,5655,1149,123
06067,251425,2979,1374,68
06069,133189,20,3,0
06071,525337,5219,1900,179
06073,394277,45684,7617,93
06075,67000,6194,890,23
06077,425817,7071,1736,23
06079,333634,676,77,5
06081,679131,2095,181,22
06083,311287,2226,512,15
06085,598294,6041,2440,39
06087,264383,2397,110,4
06089,161051,121,55,15
06091,99091,10,2,0
06093,319739,36,9,8
06095,446803,3763,1018,26
06097,423101,4779,653,12
06099,344623,1622,716,24
06101,186073,581,165,3
06103,175317,125,24,15
06105,99105,8,0,1
06107,515017,1052,354,23
06109,171783,45,7,2
