state_name,county_fips,county_name,votes_gop_change,votes_dem_change,percentage_change_gop,percentage_change_dem,total_votes_change,per_point_diff_change
Alabama,1001,Autauga County,646,-64,0.022915927633912734,-0.002270308620078042,420,0.018568377577789896
Alabama,1003,Baldwin County,12254,356,0.1006009457506896,0.002922632339419414,12129,0.04414460000428244
Alabama,1005,Barbour County,-16,-658,-0.0016273393002441008,-0.06692432872253865,-686,0.0706436685469723
Alabama,1007,Bibb County,47,-367,0.005086029650470728,-0.03971431663239909,-354,0.06691451801420367
Alabama,1009,Blount County,643,-64,0.022870353903610172,-0.002276364929752801,527,0.010150757193491011
Alabama,1011,Bullock County,-45,-463,-0.010959571358986848,-0.11276181198246468,-507,0.04023730981578677
Alabama,1013,Butler County,-286,-714,-0.03377819770875162,-0.08432738868548482,-1021,0.06952417041779699
Alabama,1015,Calhoun County,-189,-2022,-0.0038944982485060787,-0.041664949515763446,-2453,0.05748502835248109
Alabama,1017,Chambers County,-42,-960,-0.0029533788059911397,-0.06750580127979748,-1063,0.0762312816446096
Alabama,1019,Cherokee County,775,-71,0.05968884781269254,-0.005468268638324092,683,0.02684542600892592
Alabama,1021,Chilton County,835,-375,0.042325628548256285,-0.01900851581508516,418,0.04705655117784158
Alabama,1023,Choctaw County,-193,-612,-0.029040024074631358,-0.09208546494131808,-818,0.08232228106487019
Alabama,1025,Clarke County,-359,-828,-0.030051900217646074,-0.06931190356604722,-1189,0.051149191791943396
Alabama,1027,Clay County,133,-274,0.019683291401509546,-0.0405505401805535,-173,0.07624591546450354
Alabama,1029,Cleburne County,504,-70,0.06599450045829514,-0.00916590284142988,410,0.03200805963132858
Alabama,1031,Coffee County,596,-475,0.02676246070947463,-0.021329142343960484,-5,0.04821077108459226
Alabama,1033,Colbert County,511,-1206,0.0188658347485786,-0.04452484678431662,-800,0.07489308812285489
Alabama,1035,Conecuh County,-19,-386,-0.0031441337084229686,-0.06387555849743505,-398,0.0655986801415915
Alabama,1037,Coosa County,127,-318,0.02412613981762918,-0.06041033434650456,-215,0.09821556858987979
Alabama,1039,Covington County,91,-407,0.005330365510777882,-0.02384020618556701,-358,0.04344533711227294
Alabama,1041,Crenshaw County,136,-243,0.020987654320987655,-0.0375,-137,0.06859695005569277
Alabama,1043,Cullman County,1824,-439,0.04236736969246493,-0.010196971104710583,1201,0.030966235514379825
Alabama,1045,Dale County,173,-686,0.00905616918808564,-0.035910589959692193,-635,0.060347684436308835
Alabama,1047,Dallas County,-334,-1994,-0.021509531169500256,-0.12841318907779495,-2336,0.050430489406133094
Alabama,1049,DeKalb County,866,-523,0.029273569279653855,-0.01767907244025285,227,0.04159783335642553
Alabama,1051,Elmore County,1210,-593,0.029162951001421994,-0.014292256151936564,461,0.03809421848371858
Alabama,1053,Escambia County,15,-954,0.0010047558443298278,-0.06390247169937704,-981,0.08948587950701842
Alabama,1055,Etowah County,125,-1540,0.002716033287703974,-0.033461530104512964,-1705,0.054776202262378004
Alabama,1057,Fayette County,-142,-253,-0.016993776926759217,-0.030277644806127334,-410,0.04633633341404464
Alabama,1059,Franklin County,41,-518,0.0033948828351411772,-0.04289144655129585,-501,0.07362778297044059
Alabama,1061,Geneva County,81,-204,0.006537530266343826,-0.01646489104116223,-155,0.03222967132688748
Alabama,1063,Greene County,10,-751,0.0024783147459727386,-0.18612143742255266,-740,0.0730319131681556
Alabama,1065,Hale County,179,-819,0.024554183813443074,-0.11234567901234568,-632,0.12051750105365461
Alabama,1067,Henry County,382,-343,0.041070852596495,-0.03687775508009891,3,0.07780981369969975
Alabama,1069,Houston County,-149,-1565,-0.0033714221065731416,-0.03541124561601991,-1978,0.05113630371962208
Alabama,1071,Jackson County,403,-441,0.017142371006848442,-0.018758773235782043,-127,0.03954732293557939
Alabama,1073,Jefferson County,-7720,-19576,-0.026015953306081734,-0.06596998729531814,-29107,0.027056550593362094
Alabama,1075,Lamar County,-141,-172,-0.020509090909090907,-0.025018181818181818,-318,0.037921939259128234
Alabama,1077,Lauderdale County,987,-1589,0.022713674230220464,-0.03656740461177337,-885,0.06837862758976371
Alabama,1079,Lawrence County,702,-579,0.04356189885200124,-0.03592925845485572,84,0.07664281311304366
Alabama,1081,Lee County,3799,-2062,0.05225944012655616,-0.028365087007359516,1246,0.07717942557691859
Alabama,1083,Limestone County,3247,909,0.06115338255235799,0.017119933704987194,3861,0.01306488521019189
