County,Price,State
NORTH SLOPE County,$3.369,AK
NORTHWEST ARCTIC County,$3.549,AK
YUKON KOYUKUK County,$3.569,AK
LAKE AND PENINSULA County,,AK
MATANUSKA SUSITNA County,$3.216,AK
FAIRBANKS NORTH STAR County,$3.352,AK
SOUTHEAST FAIRBANKS County,$3.577,AK
KODIAK ISLAND County,$4.369,AK
KETCHIKAN GATEWAY County,$3.572,AK
PRINCE WALES KETCHIKAN County,,AK
VALDEZ CORDOVA County,$4.075,AK
JUNEAU County,$3.307,AK
MOHAVE County,$3.079,AZ
COCONINO County,$3.158,AZ
APACHE County,$3.090,AZ
YAVAPAI County,$3.241,AZ
MARICOPA County,$3.227,AZ
GRAHAM County,$3.175,AZ
YUMA County,$3.156,AZ
PIMA County,$3.043,AZ
BENTON County,$2.531,AR
CARROLL County,$2.723,AR
LOGAN County,$2.569,AR
PHILLIPS County,$2.792,AR
MISSISSIPPI County,$2.733,AR
POINSETT County,$2.675,AR
DESHA County,$2.834,AR
ASHLEY County,$2.784,AR
UNION County,$2.780,AR
MILLER County,$2.593,AR
NEVADA County,$2.725,AR
OUACHITA County,$2.690,AR
DALLAS County,$2.699,AR
HOT SPRING County,$2.628,AR
SALINE County,$2.546,AR
LONOKE County,$2.599,AR
YELL County,$2.754,AR
LITTLE RIVER County,$2.769,AR
JOHNSON County,$2.444,AR
CRAWFORD County,$2.504,AR
INDEPENDENCE County,$2.593,AR
WASHINGTON County,$2.577,AR
DREW County,$2.602,AR
HOWARD County,$2.681,AR
CLEBURNE County,$2.561,AR
SEARCY County,$2.624,AR
CHICOT County,$2.808,AR
HEMPSTEAD County,$2.673,AR
CLAY County,$2.652,AR
POLK County,$2.681,AR
SEBASTIAN County,$2.536,AR
FRANKLIN County,$2.514,AR
MONTGOMERY County,$2.699,AR
PHILLIPS County,$2.834,AR
CARROLL County,$2.531,AR
DEL NORTE County,$4.467,CA
SISKIYOU County,$4.502,CA
MODOC County,$4.532,CA
LASSEN County,$4.964,CA
TRINITY County,$4.895,CA
HUMBOLDT County,$4.446,CA
LAKE County,$4.441,CA
BUTTE County,$4.149,CA
GLENN County,$4.149,CA
NEVADA County,$4.734,CA
SIERRA County,$4.966,CA
ALPINE County,$5.799,CA
MONO County,$5.743,CA
MADERA County,$4.269,CA
TULARE County,$4.280,CA
KERN County,$4.307,CA
VENTURA County,$4.500,CA
SAN JOAQUIN County,$4.148,CA
MERCED County,$4.181,CA
FRESNO County,$4.264,CA
MARIPOSA County,$4.390,CA
INYO County,$4.588,CA
SAN DIEGO County,$4.483,CA
SAN DIEGO County,$4.252,CA
RIVERSIDE County,$4.320,CA
SANTA BARBARA County,$4.425,CA
SAN LUIS OBISPO County,$4.688,CA
SAN MATEO County,$4.520,CA
SOLANO County,$4.275,CA
SONOMA County,$4.571,CA
HUMBOLDT County,$5.066,CA
GLENN County,$4.100,CA
