County,State,Price,State_Average,state_name,Comparison_with_State_Average
Adams County,IA,2.649,2.7676,Iowa,-0.1186
Adams County,IN,2.872,2.8702,Indiana,0.0018
Adams County,MS,2.782,2.6891,Mississippi,0.0929
Adams County,WA,4.044,3.934,Washington,0.1099
Addison County,VT,3.0495,3.1276,Vermont,-0.0781
Aitkin County,MN,2.777,2.7892,Minnesota,-0.0122
Alamosa County,CO,3.162,3.0417,Colorado,0.1203
Albany County,NY,3.126,3.2019,New York,-0.0759
Albany County,WY,2.624,2.9467,Wyoming,-0.3227
Albemarle County,VA,2.893,2.9095,Virginia,-0.0165
Alcorn County,MS,2.531,2.6891,Mississippi,-0.1581
Alexander County,IL,3.499,3.0868,Illinois,0.4122
Alfalfa County,OK,2.736,2.5638,Oklahoma,0.1722
Allamakee County,IA,2.899,2.7676,Iowa,0.1314
Allegany County,MD,3.223,2.9834,Maryland,0.2396
Allegany County,NY,3.296,3.2019,New York,0.0941
Alleghany County,VA,2.939,2.9095,Virginia,0.0295
Allen County,IN,2.822,2.8702,Indiana,-0.0482
Allendale County,SC,2.974,2.7674,South Carolina,0.2066
Alpena County,MI,2.966,2.923,Michigan,0.043
Alpine County,CA,5.799,4.5028,California,1.2962
Amite County,MS,2.809,2.6891,Mississippi,0.1199
Anderson County,KS,2.529,2.7011,Kansas,-0.1721
Anderson County,SC,2.634,2.7674,South Carolina,-0.1334
Andrew County,MO,2.589,2.6718,Missouri,-0.0828
Anne Arundel County,MD,2.919,2.9834,Maryland,-0.0644
Anson County,NC,2.9,2.8649,North Carolina,0.0351
Apache County,AZ,3.09,3.1461,Arizona,-0.0561
Appomattox County,VA,2.827,2.9095,Virginia,-0.0825
Armstrong County,TX,2.359,2.6847,Texas,-0.3257
Aroostook County,ME,3.054,3.0555,Maine,-0.0015
Ashley County,AR,2.784,2.6515,Arkansas,0.1325
Asotin County,WA,3.502,3.934,Washington,-0.4321
Assumption County,LA,2.8365,2.741,Louisiana,0.0955
Atchison County,KS,2.669,2.7011,Kansas,-0.0321
Atchison County,MO,2.914,2.6718,Missouri,0.2422
Athens County,OH,2.977,2.8384,Ohio,0.1386
Atlantic County,NJ,2.898,2.9361,New Jersey,-0.0381
Attala County,MS,2.698,2.6891,Mississippi,0.0089
Augusta County,VA,2.966,2.9095,Virginia,0.0565
Baca County,CO,2.906,3.0417,Colorado,-0.1357
Baker County,OR,3.597,3.5375,Oregon,0.0595
Baltimore County,MD,2.916,2.9834,Maryland,-0.0674
Bamberg County,SC,2.982,2.7674,South Carolina,0.2146
Baraga County,MI,2.994,2.923,Michigan,0.071
Barnes County,ND,2.902,2.8678,North Dakota,0.0342
Barnstable County,MA,3.092,3.1254,Massachusetts,-0.0334
Barry County,MO,2.509,2.6718,Missouri,-0.1628
Barton County,KS,2.77,2.7011,Kansas,0.0689
Barton County,MO,2.512,2.6718,Missouri,-0.1598
Bath County,KY,2.692,2.7243,Kentucky,-0.0323
Bay County,FL,2.758,3.0547,Florida,-0.2967
Bayfield County,WI,2.769,2.7954,Wisconsin,-0.0264
Baylor County,TX,2.899,2.6847,Texas,0.2143
Bear Lake County,ID,3.109,3.1104,Idaho,-0.0014
Beauregard County,LA,2.699,2.741,Louisiana,-0.042
Beaver County,OK,2.769,2.5638,Oklahoma,0.2052
Beaver County,UT,3.388,3.0844,Utah,0.3036
Beaverhead County,MT,3.007,2.9015,Montana,0.1055
Becker County,MN,2.988,2.7892,Minnesota,0.1988
Bedford County,VA,2.865,2.9095,Virginia,-0.0445
Belknap County,NH,2.93,2.9712,New Hampshire,-0.0412
Bell County,TX,2.497,2.6847,Texas,-0.1877
Belmont County,OH,2.832,2.8384,Ohio,-0.0064
Benewah County,ID,3.055,3.1104,Idaho,-0.0554
Bennington County,VT,2.989,3.1276,Vermont,-0.1386
Benson County,ND,2.886,2.8678,North Dakota,0.0182
Benton County,AR,2.531,2.6515,Arkansas,-0.1205
Benton County,IA,2.699,2.7676,Iowa,-0.0686
Benton County,IN,3.031,2.8702,Indiana,0.1608
Benton County,MS,2.651,2.6891,Mississippi,-0.0381
Benton County,OR,3.253,3.5375,Oregon,-0.2845
Benton County,TN,2.611,2.6916,Tennessee,-0.0806
Benzie County,MI,2.997,2.923,Michigan,0.074
Berkeley County,SC,2.708,2.7674,South Carolina,-0.0594
Berkeley County,WV,3.147,3.0191,West Virginia,0.1279
Berks County,PA,3.122,3.3018,Pennsylvania,-0.1798
Berkshire County,MA,3.061,3.1254,Massachusetts,-0.0644
Bernalillo County,NM,2.752,2.8433,New Mexico,-0.0913
Big Horn County,MT,2.915,2.9015,Montana,0.0135
Billings County,ND,3.209,2.8678,North Dakota,0.3412
Bingham County,ID,2.904,3.1104,Idaho,-0.2064
Black Hawk County,IA,2.811,2.7676,Iowa,0.0434
Bladen County,NC,2.745,2.8649,North Carolina,-0.1199
Blaine County,ID,3.433,3.1104,Idaho,0.3226
Blaine County,MT,2.883,2.9015,Montana,-0.0185
Bolivar County,MS,2.513,2.6891,Mississippi,-0.1761
Bond County,IL,3.025,3.0868,Illinois,-0.0618
Bonner County,ID,3.027,3.1104,Idaho,-0.0834
Bonneville County,ID,2.879,3.1104,Idaho,-0.2314
Boone County,IA,2.738,2.7676,Iowa,-0.0296
Boone County,IL,3.156,3.0868,Illinois,0.0692
Boone County,WV,2.84,3.0191,West Virginia,-0.1791
Bossier County,LA,2.541,2.741,Louisiana,-0.2
Bottineau County,ND,2.855,2.8678,North Dakota,-0.0128
Boulder County,CO,3.1395,3.0417,Colorado,0.0978
Boundary County,ID,2.931,3.1104,Idaho,-0.1794
Boyd County,NE,2.909,2.8668,Nebraska,0.0422
Bracken County,KY,2.667,2.7243,Kentucky,-0.0573
Brazoria County,TX,2.526,2.6847,Texas,-0.1587
Breckinridge County,KY,2.626,2.7243,Kentucky,-0.0983
Brevard County,FL,3.133,3.0547,Florida,0.0783
