Region,Kamala Harris,Donald Trump,Joe Biden
Delaware,26%,53%,21%
Wyoming,25%,57%,18%
New Mexico,26%,60%,14%
Vermont,22%,59%,19%
Hawaii,26%,59%,15%
District of Columbia,20%,50%,30%
Maine,22%,60%,18%
New Hampshire,20%,62%,18%
Wisconsin,23%,59%,18%
Nevada,24%,57%,19%
Michigan,22%,61%,17%
Rhode Island,22%,58%,20%
Colorado,24%,59%,17%
Alaska,20%,63%,17%
Oregon,20%,61%,19%
Minnesota,22%,59%,19%
Utah,22%,62%,16%
West Virginia,22%,62%,16%
Kentucky,22%,60%,18%
Kansas,23%,57%,20%
Washington,20%,62%,18%
Montana,17%,69%,14%
Pennsylvania,20%,63%,17%
Massachusetts,22%,59%,19%
North Carolina,20%,62%,18%
Maryland,24%,56%,20%
Missouri,22%,59%,19%
Georgia,22%,61%,17%
Arkansas,20%,62%,18%
Connecticut,22%,58%,20%
Alabama,21%,61%,18%
Iowa,20%,62%,18%
Oklahoma,20%,63%,17%
South Carolina,22%,61%,17%
Arizona,20%,61%,19%
Indiana,21%,61%,18%
Mississippi,23%,61%,16%
Ohio,20%,62%,18%
Tennessee,21%,60%,19%
Idaho,17%,63%,20%
Virginia,19%,62%,19%
Illinois,20%,62%,18%
Nebraska,19%,63%,18%
New York,21%,60%,19%
Louisiana,21%,61%,18%
Florida,19%,64%,17%
New Jersey,20%,62%,18%
Texas,21%,62%,17%
North Dakota,18%,66%,16%
California,23%,59%,18%
South Dakota,13%,70%,17%
